project_id,project_name,project_description,project_field_of_view,project_method,project_countries,project_protocol,project_global_region,project_organisations,site_id,site_name,site_latitude,site_longitude,site_depth,site_country,site_reef_name,site_exposure,site_reef_type,site_reef_zone,site_code,site_management,site_local_region,site_country_region,survey_id,survey_title,survey_description,survey_start_date,survey_collection_method,survey_depth,survey_transect_number,image_id,image_name,image_path,image_height,image_width,image_quality,image_disabled,point_id,point_num,point_machine_classification,point_human_classification,point_human_group_code,point_coordinate,point_model_confidence,point_modified_by_displayname,point_modified_by_username,point_modified_by_email
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661861,HORSESHOE REEF_V29 (19).JPG,surveys/AIMS/21214/175c5f10-6388-4d1f-88ec-74dc36d5eab3/HORSESHOE REEF_V29 (19).JPG,2432,3648,,f,66529084,3,TA,CA,A,"1536.0, 1024.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661861,HORSESHOE REEF_V29 (19).JPG,surveys/AIMS/21214/175c5f10-6388-4d1f-88ec-74dc36d5eab3/HORSESHOE REEF_V29 (19).JPG,2432,3648,,f,66529086,4,TA,MA_RED,A,"768.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661861,HORSESHOE REEF_V29 (19).JPG,surveys/AIMS/21214/175c5f10-6388-4d1f-88ec-74dc36d5eab3/HORSESHOE REEF_V29 (19).JPG,2432,3648,,f,66529082,1,CA,MA_BROWN,A,"768.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661861,HORSESHOE REEF_V29 (19).JPG,surveys/AIMS/21214/175c5f10-6388-4d1f-88ec-74dc36d5eab3/HORSESHOE REEF_V29 (19).JPG,2432,3648,,f,66529087,5,TA,TA,A,"2304.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661861,HORSESHOE REEF_V29 (19).JPG,surveys/AIMS/21214/175c5f10-6388-4d1f-88ec-74dc36d5eab3/HORSESHOE REEF_V29 (19).JPG,2432,3648,,f,66529083,2,TA,TA,A,"2304.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661866,HORSESHOE REEF_V29 (29).JPG,surveys/AIMS/21214/989e0ac9-a003-4012-8858-37fcaba94de7/HORSESHOE REEF_V29 (29).JPG,2432,3648,,f,66529469,3,TA,F_FAV_CEMS,HC,"1536.0, 1024.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661866,HORSESHOE REEF_V29 (29).JPG,surveys/AIMS/21214/989e0ac9-a003-4012-8858-37fcaba94de7/HORSESHOE REEF_V29 (29).JPG,2432,3648,,f,66529471,5,TA,TA,A,"2304.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661866,HORSESHOE REEF_V29 (29).JPG,surveys/AIMS/21214/989e0ac9-a003-4012-8858-37fcaba94de7/HORSESHOE REEF_V29 (29).JPG,2432,3648,,f,66529470,4,TA,CA,A,"768.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661866,HORSESHOE REEF_V29 (29).JPG,surveys/AIMS/21214/989e0ac9-a003-4012-8858-37fcaba94de7/HORSESHOE REEF_V29 (29).JPG,2432,3648,,f,66529467,1,TA,MA_BROWN,A,"768.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661866,HORSESHOE REEF_V29 (29).JPG,surveys/AIMS/21214/989e0ac9-a003-4012-8858-37fcaba94de7/HORSESHOE REEF_V29 (29).JPG,2432,3648,,f,66529468,2,TA,MA_RED,A,"2304.0, 512.0",,,,
